Time, Error
0, 720.000000
10, 720.000000
20, 720.000000
30, 720.000000
40, 720.000000
50, 719.599976
60, 718.400024
70, 716.000000
80, 712.400024
90, 706.799988
100, 700.400024
110, 691.599976
120, 681.599976
130, 670.799988
140, 658.799988
150, 646.400024
160, 634.000000
170, 620.799988
180, 608.000000
190, 594.799988
200, 582.000000
210, 569.200012
220, 557.200012
230, 544.400024
240, 532.400024
250, 520.400024
260, 508.399994
270, 496.799988
280, 484.799988
290, 473.200012
300, 461.600006
310, 450.000000
320, 438.000000
330, 426.399994
340, 414.000000
350, 402.399994
360, 390.399994
370, 378.399994
380, 366.399994
390, 353.200012
400, 341.200012
410, 328.000000
420, 316.000000
430, 304.000000
440, 290.799988
450, 278.799988
460, 266.799988
470, 255.600006
480, 244.000000
490, 232.800003
500, 222.000000
510, 211.199997
520, 200.800003
530, 190.800003
540, 181.600006
550, 172.800003
560, 164.399994
570, 156.800003
580, 150.000000
590, 143.600006
600, 137.600006
610, 132.399994
620, 127.599998
630, 122.800003
640, 118.000000
650, 112.800003
660, 107.599998
670, 102.800003
680, 98.000000
690, 93.199997
700, 88.400002
710, 84.400002
720, 80.000000
730, 76.400002
740, 72.800003
750, 69.199997
760, 66.000000
770, 63.200001
780, 60.400002
790, 58.000000
800, 55.200001
810, 52.799999
820, 50.400002
830, 48.400002
840, 46.000000
850, 44.400002
860, 42.000000
870, 40.400002
880, 38.799999
890, 36.799999
900, 35.200001
910, 33.599998
920, 32.000000
930, 30.799999
940, 29.200001
950, 28.000000
960, 26.799999
970, 25.200001
980, 24.400000
990, 22.799999
1000, 22.000000
1010, 20.799999
1020, 19.600000
1030, 18.799999
1040, 18.000000
1050, 17.200001
1060, 16.400000
1070, 15.600000
1080, 14.800000
1090, 14.800000
1100, 14.000000
1110, 13.600000
1120, 13.200000
1130, 12.400000
1140, 12.000000
1150, 11.600000
1160, 10.800000
1170, 10.400000
1180, 10.000000
1190, 9.200000
1200, 8.800000
1210, 8.400000
1220, 8.000000
1230, 7.600000
1240, 7.600000
1250, 7.600000
1260, 7.200000
1270, 7.200000
1280, 6.800000
1290, 6.800000
1300, 6.400000
1310, 6.000000
1320, 5.600000
1330, 5.200000
1340, 4.800000
1350, 4.400000
1360, 4.400000
1370, 4.400000
1380, 4.400000
1390, 4.400000
1400, 4.400000
1410, 4.000000
1420, 3.600000
1430, 3.200000
1440, 2.800000
1450, 2.400000
1460, 2.000000
1470, 2.000000
1480, 2.000000
1490, 2.000000
1500, 1.600000
1510, 1.600000
1520, 1.200000
1530, 1.200000
1540, 1.200000
1550, 1.200000
1560, 1.200000
1570, 0.800000
